"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"860Z200US01720","ZCTA5 01720","8821","332","6652","378","2169","343",
"860Z200US01721","ZCTA5 01721","7573","334","5721","421","1852","357",
"860Z200US01730","ZCTA5 01730","5862","233","4148","318","1714","300",
"860Z200US01731","ZCTA5 01731","495","168","0","14","495","168",
"860Z200US01740","ZCTA5 01740","1990","122","1888","121","102","49",
"860Z200US01741","ZCTA5 01741","1726","130","1624","121","102","39",
"860Z200US01742","ZCTA5 01742","6191","303","4896","295","1295","258",
"860Z200US01745","ZCTA5 01745","250","70","218","67","32","35",
"860Z200US01746","ZCTA5 01746","5654","251","4907","286","747","283",
"860Z200US01747","ZCTA5 01747","2171","282","1667","208","504","203",
"860Z200US01748","ZCTA5 01748","6633","206","5660","206","973","189",
"860Z200US01749","ZCTA5 01749","8041","355","5992","363","2049","303",
"860Z200US01752","ZCTA5 01752","16649","659","9352","686","7297","716",
"860Z200US01754","ZCTA5 01754","4673","341","3599","296","1074","287",
"860Z200US01756","ZCTA5 01756","2103","139","1916","171","187","103",
"860Z200US01757","ZCTA5 01757","11410","458","7801","532","3609","423",
"860Z200US01760","ZCTA5 01760","15358","651","10362","499","4996","603",
"860Z200US01770","ZCTA5 01770","1512","86","1351","96","161","79",
"860Z200US01772","ZCTA5 01772","3461","177","3093","157","368","104",
"860Z200US01773","ZCTA5 01773","2194","290","1687","254","507","142",
"860Z200US01775","ZCTA5 01775","2731","185","2336","178","395","198",
"860Z200US01776","ZCTA5 01776","6327","189","5707","213","620","147",
"860Z200US01778","ZCTA5 01778","4981","171","4506","175","475","167",
"860Z200US01801","ZCTA5 01801","16360","497","9429","553","6931","590",
"860Z200US01803","ZCTA5 01803","9991","314","7501","353","2490","377",
"860Z200US01810","ZCTA5 01810","13279","341","10688","446","2591","269",
"860Z200US01821","ZCTA5 01821","11511","443","9334","447","2177","452",
"860Z200US01824","ZCTA5 01824","9868","394","8161","351","1707","320",
"860Z200US01826","ZCTA5 01826","12149","420","9694","468","2455","399",
"860Z200US01827","ZCTA5 01827","1135","48","1089","49","46","27",
"860Z200US01830","ZCTA5 01830","10542","543","5996","494","4546","504",
"860Z200US01832","ZCTA5 01832","10306","534","5989","509","4317","494",
"860Z200US01833","ZCTA5 01833","3151","184","2645","148","506","178",
"860Z200US01834","ZCTA5 01834","2672","212","2450","217","222","106",
"860Z200US01835","ZCTA5 01835","5452","316","4142","353","1310","254",
"860Z200US01840","ZCTA5 01840","3299","322","76","60","3223","319",
"860Z200US01841","ZCTA5 01841","17097","617","5523","589","11574","734",
